iter,time,reward,steps,convergence
1,0.0018369599999914499,-448.57,300.0,89.61
2,0.004074410999976408,-299.0,300.0,80.22198
3,0.006145388999982515,-324.18,300.0,70.83196000000001
4,0.00890945699995882,-315.9,300.0,60.96560286769282
5,0.009872907999977087,-299.0,300.0,51.37560286769283
6,0.011136838999959764,-339.07,300.0,41.51271558451923
7,0.012137477999942803,-321.12,300.0,32.12469558451922
8,0.013104973999986669,-333.3,300.0,22.73667558451921
9,0.014071715999989465,-396.99,300.0,13.148611646499216
10,0.01505213799998728,-302.43,300.0,3.2847306504843616
11,0.0160200229999532,-299.49,300.0,3.3313338142720523
12,0.01702692699996078,-620.44,300.0,3.136207085323285
13,0.0179911909999646,-305.37,300.0,3.125261395615051
14,0.019004412999947817,-329.42,300.0,3.1394688290829094
15,0.019950308999966637,-340.67,300.0,3.2896330807876
16,0.020929009999974824,-311.74,300.0,3.7134143507206545
17,0.023492394999948374,-393.86,300.0,3.7052162199017715
18,0.025452793999932055,-299.0,300.0,3.648087668362588
19,0.02639819299992041,-317.6,300.0,3.7994991573265877
20,0.027417241999955877,-323.73,300.0,4.228702780213284
21,0.028370686999949157,-301.32,300.0,4.226399440369694
22,0.029317057999946883,-307.82,300.0,4.2365638062441064
23,0.030419375999940712,-336.65,300.0,4.241541230732341
24,0.031640449999940756,-317.9,300.0,4.507063947476917
25,0.032594369999969786,-390.14,300.0,4.580437325033699
26,0.03369486399998323,-527.87,300.0,4.412816403983602
27,0.03467613300000494,-303.93,300.0,4.387452385892485
28,0.03739791499998546,-304.22,300.0,4.426481177412813
29,0.038684508999949685,-452.18,300.0,4.495278506008627
30,0.04104187199993703,-300.47,300.0,4.29330081779528
31,0.0452034089999529,-307.82,300.0,4.226234390968905
32,0.04611626099995192,-301.61,300.0,4.199103456130141
33,0.047365733999981785,-377.89,300.0,4.240550720902121
34,0.048678754000036406,-366.13,300.0,4.013321571188207
35,0.04993825100001459,-460.7,300.0,3.7044934667430396
36,0.051354961000015464,-459.54,300.0,3.772466646911957
37,0.05250120599998809,-314.27,300.0,3.8040246419779775
38,0.05347499200001948,-444.62,300.0,3.4163264199968326
39,0.05517672600001333,-439.14,300.0,3.46722302137326
40,0.05639424299999973,-307.47,300.0,3.678248640021296
41,0.05736151600001449,-354.73,300.0,3.789754177666059
42,0.058421225000017785,-343.37,300.0,3.7679859949875736
43,0.05935921800005417,-352.85,300.0,3.55225443711808
44,0.0603311230000827,-314.58,300.0,3.780508103564043
45,0.06134475600009637,-387.08,300.0,3.629424859646555
46,0.06228952000014942,-481.08,300.0,3.6244766005414477
47,0.06332717500015406,-348.45,300.0,3.1750238337557066
48,0.06428417900013983,-367.55,300.0,3.381093830427882
49,0.06524907100015298,-396.27,300.0,3.3140758851889855
50,0.06667741600017507,-402.08,300.0,3.349671482825015
51,0.06913593400014406,-438.41,300.0,3.227206175998036
52,0.07022469700012834,-425.64,300.0,3.3898389218721348
53,0.07117316200009327,-437.67,300.0,3.6300569055224643
54,0.07215051800005767,-417.34,300.0,3.7937134590815504
55,0.07309644700006857,-360.84,300.0,4.301466322651933
56,0.07407023300009996,-315.41,300.0,4.513271599183938
