iter,time,reward,steps,convergence
1,0.002253286999973625,-667.3,300.0,93.6
2,0.003346461999967687,-320.3,300.0,88.8334119
3,0.004442627999935667,-300.34,300.0,81.4199222177246
4,0.005549877999953878,-385.84,299.58,74.7904100637208
5,0.006533128999933524,-313.21,300.0,68.1849190913468
6,0.0075437999999508065,-300.16,300.0,62.17967541848513
7,0.008526439999968716,-344.98,300.0,56.91496085083285
8,0.009458241999993788,-301.25,300.0,50.72469467905593
9,0.010481004000041594,-570.25,295.77,43.482781349460126
10,0.01160631100003684,-354.54,300.0,38.20412876260763
11,0.012778826000044319,-353.58,300.0,38.274277369997634
12,0.01375439000003098,-387.65,300.0,36.46274905582842
13,0.01472209100006694,-301.9,300.0,36.72747383895664
14,0.015887265000060324,-312.77,300.0,36.539799094388414
15,0.017998470000065936,-353.74,300.0,35.49127463022519
16,0.019144693000043844,-348.08,300.0,35.074292138215675
17,0.020109929000057036,-461.37,299.72,39.520006705867964
18,0.021081053000045813,-384.16,300.0,44.810272877644884
19,0.022054464000063945,-469.31,300.0,50.80707267472705
20,0.023015824000083285,-355.39,300.0,50.059226525851685
21,0.023980594000079236,-379.17,300.0,49.41523209797921
22,0.02497078400006103,-355.13,300.0,51.29999094281542
23,0.025982682000062596,-387.2,300.0,53.191075449352596
24,0.026998040000023593,-544.33,300.0,54.60265702804554
25,0.02797393500003409,-359.11,300.0,57.93521809161966
26,0.02885849100005089,-574.92,298.75,58.44341248185068
27,0.029706728000064686,-389.84,299.3,54.067857503677104
28,0.03104184300008228,-361.85,299.65,48.6852335394779
29,0.03199136800009228,-337.82,299.22,45.08523260202321
30,0.03323773300007815,-816.43,300.0,44.68392796604956
31,0.03430264600007149,-414.4,296.68,45.181298773942885
32,0.03486996900005579,-529.23,296.98,45.23633088489639
33,0.03535575900002641,-469.59,296.29,42.97218032927721
34,0.036430082000038055,-383.21,300.0,45.40665855305631
35,0.03737331700000368,-388.64,295.82,46.69866046829902
36,0.04024046699998962,-391.95,299.56,44.80169059666506
37,0.041210306999971635,-460.51,298.66,43.36068936751177
38,0.042241829999966285,-349.89,296.89,44.782925011523034
39,0.04328010999995513,-338.05,298.35,42.4624795173908
40,0.04518379999996114,-327.25,299.17,43.656287541920044
41,0.046196622999957526,-305.91,300.0,43.50428959972466
42,0.04740938999998434,-464.77,293.88,39.679430267548526
43,0.049691661999986536,-449.32,297.27,44.03662442320727
44,0.050660004999997454,-372.21,298.51,45.63431741689118
45,0.05166816100000915,-394.87,300.0,42.419698366176064
46,0.05278115100003333,-332.2,297.24,46.50208532439608
47,0.05483441900003072,-331.16,292.04,50.3342152298225
48,0.055883290000053876,-433.06,288.17,48.03962032863977
49,0.057934324000029847,-417.58,298.99,51.89028719873037
50,0.06046473600002855,-360.3,295.96,51.053192354969525
51,0.06449920600005044,-457.3,298.91,52.055956259772074
52,0.06612123400003611,-300.94,300.0,55.5799967391729
53,0.06708458800005701,-309.71,300.0,53.216112024115034
54,0.06802864700006239,-376.79,299.15,51.73454781289087
55,0.06902812900005983,-346.29,295.95,50.86356779376555
56,0.07012645600008227,-406.08,297.17,47.34834033980881
57,0.07114423300009776,-348.11,300.0,43.54403843666424
58,0.07206841400005715,-367.78,300.0,45.10384056740729
59,0.0731005490000598,-377.74,300.0,48.077540286116914
60,0.07404227700010324,-349.23,299.57,46.49289050886603
61,0.07495523800008641,-301.63,300.0,48.93666110330023
62,0.07553189700007579,-352.59,272.88,51.85755565106111
63,0.07600919200007183,-747.25,275.48,55.61747233189543
64,0.0763754160000758,-320.98,298.89,56.69379510298078
65,0.07710716100007176,-326.05,299.63,61.41425537909752
66,0.07787288100007572,-300.83,300.0,59.62421634191852
67,0.07876322800007074,-372.47,286.93,62.49329544750458
68,0.0793639120000762,-300.07,299.58,62.22879767794878
69,0.08008806900005538,-337.58,294.56,61.19303853365659
70,0.0808880990000489,-321.06,282.49,63.620124428073325
71,0.08128365800001802,-485.98,291.95,63.93245171867086
72,0.0822736720000421,-327.25,300.0,65.76328700098449
73,0.08321412000003647,-360.29,296.23,68.63644400808356
74,0.08419760100002804,-347.54,298.96,66.22869616823819
75,0.08493035499998314,-305.53,300.0,66.2030159665303
76,0.08526040399999602,-316.44,299.21,68.18586588089592
77,0.0862239840000143,-407.96,300.0,66.90304988206427
78,0.08724528800001963,-370.99,293.19,68.5948941904629
79,0.08817311000001382,-316.5,296.24,66.23707515670932
80,0.08909382699999924,-310.31,294.66,66.26626806742134
