iter,time,reward,steps,convergence
1,0.005288597000003392,-898.15,300.0,89.59
2,0.008729456000004632,-918.99,299.97,79.97999999999999
3,0.010236996999999803,-702.71,299.19,70.57
4,0.011619569000004049,-514.06,299.95,60.67025471381601
5,0.013901357000001724,-302.97,300.0,51.260254713816
6,0.015296372000001668,-299.0,300.0,41.360442052404835
7,0.0166002710000015,-299.0,300.0,31.460442079804118
8,0.01789274499999749,-299.0,300.0,21.560442182023337
9,0.019056938999995054,-299.0,300.0,11.660442192230041
10,0.020628283000000636,-299.0,300.0,1.7604426442070804
11,0.021796492,-299.0,300.0,1.2704427107662155
12,0.022883188999998083,-299.0,300.0,0.9804427362061048
13,0.023969051999998214,-299.0,300.0,0.49044283670370137
