iter,time,reward,steps,convergence
1,0.003443102000005638,-325.9,300.0,94.20590615661384
2,0.005275782000012441,-529.29,299.51,89.65297805661383
3,0.006400221000035344,-470.27,299.36,88.75297805661384
4,0.008424053000055665,-436.9,300.0,81.60375434661384
5,0.011960155000053874,-387.17,300.0,76.28378307561384
6,0.014440835000073093,-531.66,300.0,70.88378307561383
7,0.017634900000075504,-300.16,300.0,64.12724721275775
8,0.023353957000097125,-348.1,300.0,58.726437212757745
9,0.02550986400012789,-428.93,300.0,53.67262518768452
10,0.027381832000173745,-313.21,300.0,50.411347212078525
11,0.028309562000174537,-355.81,300.0,51.27292529019708
12,0.02974478600015118,-309.6,300.0,50.65256747709421
13,0.032457984000132,-515.88,299.43,48.7805584770942
14,0.034770711000078336,-350.76,300.0,50.5297821870942
15,0.03802495600007205,-418.54,299.94,50.856962692551306
16,0.04190958400005229,-628.81,299.46,51.58200061451886
17,0.04347857500005148,-371.38,298.0,52.900000984677924
18,0.04900223500004586,-344.33,299.55,52.65995219792554
19,0.05095977000007679,-414.48,294.24,52.33060994273618
20,0.05213961300006531,-426.92,297.1,53.635414661636126
21,0.055012081000086255,-447.05,286.68,53.303692041402805
22,0.05808349500006216,-522.25,269.82,54.474440172921085
23,0.06439669800005277,-380.4,300.0,54.40978409314597
24,0.06778628800003617,-340.61,298.39,54.63086292384777
25,0.07200263600003609,-319.02,300.0,54.815878874183305
26,0.07706787200004328,-352.2,294.91,56.95336769459249
27,0.07985709199999746,-510.48,294.51,56.47452311390367
28,0.08305611100001897,-318.78,299.54,57.57110234323913
29,0.0845098480000388,-322.03,300.0,57.53916447484342
30,0.08601552500005027,-321.81,300.0,55.90197203095336
31,0.08716586900004586,-309.29,300.0,54.36593112704249
32,0.08814748400004646,-302.72,300.0,52.559207272048106
33,0.09045046300002468,-358.98,300.0,45.59690946123494
34,0.09215230300003441,-391.05,296.85,46.4769096411227
35,0.09349500300004365,-375.31,299.81,43.38521593394414
36,0.09551832600004673,-383.48,296.97,40.9305276268684
37,0.09650856200005364,-360.3,294.3,40.46935542646672
38,0.09764336200009893,-303.35,279.18,40.713981958026054
39,0.09877214700009063,-231.85,207.54,44.44940967028107
40,0.09920705100012128,-426.21,297.02,42.5158734294406
41,0.10035044300013851,-325.18,293.32,44.39272185864781
42,0.10145882700010134,-335.46,295.51,42.67481494727953
43,0.10244229100010216,-318.54,298.56,49.10920721061684
44,0.10349241300014,-701.3,279.92,50.641623414694216
45,0.10607534600018198,-459.36,298.86,56.39170158427011
46,0.1091975480001679,-281.19,237.49,58.635872818457486
47,0.11038696000019854,-333.47,300.0,62.63107660863358
48,0.1124828320001825,-347.11,298.17,63.732578458399715
49,0.11588996800020368,-268.81,241.5,64.153035360456
50,0.11735544700019318,-325.48,300.0,65.01198199024252
51,0.11979495300022336,-532.94,290.07,68.73065846541174
52,0.12121012200026371,-438.71,296.83,69.59906300147892
53,0.12235906600028557,-376.81,296.8,67.59279766877266
54,0.12429789600025742,-305.64,300.0,65.41836214118604
55,0.13060670100026073,-345.78,300.0,61.13372944794626
56,0.13470245500025158,-306.84,300.0,56.20618420581343
57,0.13675403600029767,-317.42,300.0,56.03932260242833
58,0.13772503800026925,-376.22,299.48,54.48851496522657
59,0.1423471530002871,-305.69,300.0,49.891042822465025
60,0.14390767000026017,-416.15,298.29,52.71415830923377
61,0.14551619900026935,-410.94,286.58,52.444002689187606
62,0.14626211200027228,-308.79,257.7,54.515582364734186
63,0.14664501700025312,-301.44,298.52,57.98884152315958
64,0.14757746700024654,-311.44,295.27,58.06344631552871
65,0.14863471300026276,-304.62,300.0,59.52733305211633
66,0.1507646660002706,-303.01,300.0,61.16141014286372
67,0.15169092100023818,-340.56,282.34,60.57264147751543
68,0.15217344100022956,-321.38,297.94,61.144951418556715
69,0.15333902300022828,-349.25,289.58,60.693088664051594
70,0.15575611300022274,-338.0,294.53,58.45432424814097
71,0.1575540810001712,-348.31,272.23,55.58672579823673
72,0.15994209800015824,-314.26,298.21,52.393415355373556
73,0.16121956800020598,-318.15,240.23,49.14183021695571
74,0.1633335860001921,-412.75,272.08,51.73652989462805
75,0.16567209000015737,-103.16,98.72,55.51677355553871
76,0.16648232500011773,-462.63,192.91,59.95619378805658
77,0.16881904500013434,-460.02,207.74,61.56402471719292
78,0.16948340100015002,-373.0,295.39,60.03033402181363
79,0.16991495100018028,-549.59,284.61,66.69527901356022
80,0.17028145100016445,-354.69,300.0,69.06062267886232
81,0.17250729200020487,-383.19,291.19,70.49817605532027
82,0.17406434800022907,-299.0,300.0,77.2792565911285
83,0.175347548000218,-299.49,300.0,84.15398459598647
84,0.17627259700026343,-340.61,297.65,79.65194385594289
85,0.1773508830003152,-491.08,300.0,75.6032312725789
86,0.1789843130003419,-395.67,297.79,73.25078567520723
87,0.17992233700033466,-392.85,292.72,70.3146987314647
88,0.1819867670003532,-305.34,251.79,71.06994707785636
89,0.18293451500034053,-419.21,300.0,71.23328796631424
90,0.18388169300033042,-303.48,300.0,71.56454013216208
91,0.18487341600035734,-327.49,300.0,66.76459123424787
92,0.18583531700039657,-323.27,275.15,65.52377365654974
93,0.18677229700040243,-355.96,289.11,60.247677237688535
94,0.1876392040003907,-302.12,296.0,63.36917836556144
95,0.18839229200040108,-243.18,248.79,67.04712374563432
96,0.18932314200043265,-282.98,189.32,65.11361654356358
97,0.1897013030004473,-218.24,206.15,67.69697047955997
98,0.19004392200048414,-211.02,188.91,71.61351774354571
99,0.19037209600048755,-317.57,283.85,67.146822543346
100,0.19106735600047386,-125.45,163.0,64.97756325901756
101,0.1914918520004676,-158.93,195.15,66.59957972980763
102,0.1925431730005016,-277.75,273.56,65.85352824505358
103,0.19347462100046187,-296.31,294.85,69.97997787070622
104,0.19440890800046873,-265.99,260.48,70.95767360978545
105,0.19547087400042074,-493.11,284.6,67.16022280175387
106,0.195721198000399,-317.5,236.29,67.95493691946157
107,0.19615457300039907,-298.7,275.8,62.59366254835378
108,0.196751048000408,-308.32,234.78,57.799768825302124
109,0.19733869200041454,-302.82,275.88,58.076646685228525
110,0.1977101520004112,-348.3,150.07,59.94071750914314
111,0.1980035490004184,-152.14,111.49,60.516787304022
112,0.19840181500046583,-306.01,291.38,60.09192409730904
113,0.19933119500046814,-270.41,258.54,55.93922141978133
114,0.1997054060004757,-190.05,184.57,56.218028813357854
115,0.20001088100048037,-307.98,284.09,58.55226030105054
116,0.20095391000046448,-301.56,293.85,58.08218590252808
117,0.20128716300047245,-287.95,281.13,60.30207393354266
