iter,time,reward,steps,convergence
1,0.0017534340000082693,-299.0,300.0,89.60099
2,0.002893879000012589,-468.27,300.0,80.20448999999999
3,0.003965282000010006,-299.0,300.0,70.60548
4,0.006667752000012683,-308.67,300.0,61.20548
5,0.007667448000020727,-316.75,300.0,51.36056909469498
6,0.008659976000032543,-369.18,300.0,42.009949303694974
7,0.009970971000029749,-305.37,300.0,32.61092831369497
8,0.0109865930000268,-299.98,300.0,23.00614362536202
9,0.012112490000021126,-312.72,300.0,13.426790350416743
10,0.01377482200001623,-309.6,300.0,4.027780350416745
11,0.014932663000010393,-399.18,300.0,3.5588938255304625
12,0.016143003999999905,-314.85,300.0,3.381642418234031
13,0.017168609000009383,-299.85,300.0,3.1303302475876844
14,0.018132860999998,-357.42,300.0,2.6952790834736033
15,0.019187658999996415,-299.49,300.0,2.962394423457135
16,0.020592562999993902,-316.64,300.0,2.4632531717393245
17,0.021832920999997896,-303.41,300.0,2.16987410775209
18,0.023921184000002427,-316.52,300.0,2.151240724242394
19,0.02513938500000279,-299.0,300.0,2.3029925599489447
20,0.02790111000000195,-394.29,300.0,2.1084886347786442
21,0.02898896100001025,-310.05,300.0,2.5246205066844936
22,0.031348515000004795,-329.47,300.0,2.7392085650286715
23,0.03276783800001226,-299.0,300.0,2.7358454550520244
24,0.033758765000001745,-299.47,300.0,3.222064235112547
25,0.036340563000010206,-341.49,300.0,3.401300164041615
26,0.038072843000009016,-313.03,300.0,3.8460447804200895
27,0.03954818300000795,-304.6,300.0,4.141578022643563
28,0.04185584400001119,-299.0,300.0,4.315622291310552
29,0.04374906900000042,-301.1,300.0,4.1910544529061795
30,0.04604125900000611,-302.08,300.0,4.38426837807648
31,0.047408598000004076,-306.35,300.0,4.436424031056913
32,0.04838871600000516,-308.81,300.0,4.413080193649327
33,0.0505186110000011,-299.98,300.0,4.873044496054744
34,0.052235334000002354,-299.98,300.0,4.7491477797363375
35,0.05358922300000302,-405.66,300.0,4.70442014216747
36,0.05470779899999911,-358.31,300.0,4.2706139524855935
37,0.05567214999999237,-303.17,300.0,4.353318626857948
38,0.05668257399999277,-299.0,300.0,3.9606047584975834
39,0.05767137399999456,-388.82,300.0,4.112680751030668
40,0.0586486659999963,-299.0,300.0,3.745547722377941
41,0.05993872599999861,-319.47,300.0,3.5651296527234217
42,0.06095992900000624,-311.11,300.0,3.1014344997785908
43,0.0619424760000129,-319.55,300.0,3.0928312849420254
44,0.06307875100002036,-300.96,300.0,3.2447870652658493
45,0.0641551580000197,-377.59,300.0,3.2875732512171405
46,0.06516759800003058,-408.57,300.0,3.3647338708712944
47,0.06613359800003593,-343.68,300.0,2.8252305843317833
48,0.06756893900004002,-367.65,300.0,3.767318255867805
49,0.0685645600000413,-362.07,300.0,3.3014209516405453
50,0.06968628100003116,-366.83,299.75,3.6586598539959665
51,0.07178435500003388,-301.45,300.0,3.4396769236504867
52,0.07287560300004259,-299.0,300.0,3.917548670665456
53,0.07381329300004325,-308.99,300.0,3.891125513078957
54,0.07481465300003265,-348.86,300.0,3.3653216058230884
55,0.07598253800003363,-339.25,300.0,2.8998026158837704
56,0.07694776900002864,-357.43,300.0,3.208217937905239
57,0.07805114300002458,-324.58,300.0,3.569519875084663
58,0.07903228400002149,-337.17,300.0,2.7684634645677457
59,0.08000297600001716,-331.54,300.0,2.770996319997068
60,0.08130946800001482,-459.57,300.0,2.316686435469892
61,0.08232018400001095,-335.2,300.0,2.508619115283001
62,0.08336941600001069,-305.72,300.0,1.996362708251274
63,0.08494059700001344,-301.34,300.0,1.6350100588919143
64,0.08630875600002241,-370.71,300.0,1.7439008855648566
65,0.08727881100001866,-313.06,300.0,1.987074885436178
66,0.08826094200001933,-299.0,300.0,1.9410000251520139
67,0.08929308500002264,-350.94,300.0,2.0286912949893865
68,0.09028457300001946,-303.3,300.0,1.9542382556226172
69,0.09129586300001336,-333.35,300.0,2.2417853961097807
70,0.09324807800001622,-437.96,300.0,2.257388911494048
71,0.09442580900001474,-347.4,300.0,2.506986524471812
72,0.09538451100002021,-314.04,299.43,2.587123747725461
73,0.09603810300002635,-299.0,300.0,2.8636459166435584
74,0.09701173700003096,-305.94,300.0,3.192682033971886
75,0.0980420510000215,-318.9,300.0,3.395419116332839
76,0.0991313010000141,-315.6,300.0,3.2965382056215957
77,0.10032031700001198,-299.29,300.0,3.61240042253572
78,0.10136166000000912,-299.0,300.0,3.908310331683076
79,0.1024375329999998,-299.38,300.0,3.924429734640585
80,0.10347609699999794,-301.61,300.0,4.362690984898679
81,0.10443594699999892,-300.94,300.0,3.8970228595179277
82,0.10539733999999612,-302.48,300.0,4.087615232991274
83,0.10659862400000009,-339.36,300.0,3.795159213698132
84,0.10756588899999997,-348.03,300.0,3.423466958339597
85,0.10850881099999299,-339.22,300.0,3.2246502844695386
86,0.1095962829999877,-341.36,300.0,3.274332017599744
87,0.1107016329999766,-350.36,300.0,2.945325734552055
88,0.11165380499997468,-310.36,300.0,2.663743509292169
89,0.11260473699996965,-339.96,300.0,2.8003799479161953
90,0.11362211699997715,-336.06,300.0,2.3706237348473422
91,0.11458154199998205,-299.0,300.0,2.3451194852851325
92,0.11537014499998577,-305.71,300.0,2.403348105225091
93,0.11632331999999224,-322.16,300.0,2.7530612423053014
94,0.11726698199998964,-301.43,300.0,3.444213780966577
95,0.11825182399998369,-302.08,300.0,3.588399434559354
96,0.11920952099998772,-301.32,300.0,3.285863071413277
97,0.12040726299998994,-339.04,300.0,3.2754283641586825
98,0.12086045999998873,-409.04,300.0,3.6672310647236075
99,0.12181463099999235,-378.36,300.0,3.5128962326616096
100,0.12292282299999613,-302.52,300.0,3.8955765923340513
101,0.12418275099999221,-315.16,300.0,4.2466463874028735
102,0.12575209799999243,-301.94,300.0,4.210206778406845
103,0.1267329349999926,-383.58,300.0,4.185213337055776
104,0.1280926969999996,-339.28,300.0,3.672707956193155
